user_id,account_balance,is_active,customer_uuid,signup_date,profile_text,first_name,email_address,personal_website,contact_number,order_status,rating,currency_code,postal_code,country,state,city,notes
184,2742.06,True,sdv-id-rOuILB,2022-07-29 09:51:28,"Long-term subscriber, rarely contacts support",Kathryn,mjones@example.com,http://carter.com/,+1-791-026-4390,shipped,5,CAD,14490,Iraq,New Mexico,West Tina,
116,8024.66,False,sdv-id-HFgkxs,2024-07-10 02:26:09,,Alexis,jamie09@example.com,http://www.cooley.biz/,+1-821-386-3019,processing,3,EUR,,Cayman Islands,Kentucky,Port Josephmouth,Interested in new features
122,4814.16,False,sdv-id-ZuSNxq,2024-05-14 12:56:56,Active community member,Lisa,melodycosta@example.org,http://middleton.com/,+1-448-247-0892,shipped,5,JPY,,Northern Mariana Islands,Kentucky,,No specific preferences
169,3831.74,False,sdv-id-FAKVLi,2023-08-11 09:56:18,"Long-term subscriber, rarely contacts support",Harold,russodavid@example.org,http://www.lewis.com/,+1-561-049-3601,processing,4,EUR,83373,Georgia,Arkansas,Port Ianbury,Preferred contact time: mornings
119,841.95,True,sdv-id-YKAwSf,2024-10-22 05:48:09,,Kristina,aramirez@example.com,https://fletcher-thompson.biz/,+1-880-334-4674,processing,4,CAD,,Guinea,Nevada,South Garrettshire,
169,6513.38,True,sdv-id-GFeOlz,2023-01-19 18:14:01,"Long-term subscriber, rarely contacts support",Pamela,snielsen@example.net,http://www.kelly-weaver.org/,+1-035-639-9184,processing,5,CAD,23481,Mali,,Bradleychester,
159,9660.79,False,sdv-id-ZqsOGC,2023-05-23 07:49:51,"Long-term subscriber, rarely contacts support",Jacob,moraleslawrence@example.org,https://bradshaw.com/,+1-152-359-9004,processing,3,GBP,27641,Haiti,Illinois,Port Melissa,Interested in new features
124,2129.9,True,sdv-id-uxpjWg,2024-02-27 04:23:01,"Feedback provider, helps improve services",Carrie,cynthia83@example.org,https://www.karen89.com,+1-833-950-8757,processing,4,USD,,French Polynesia,Wisconsin,North Brian,Follow up on recent inquiry
152,2007.64,False,sdv-id-ElZPDl,2024-10-06 12:00:01,Active community member,Rodney,mnelson@example.net,https://alice.com,+1-152-590-5732,processing,5,CAD,38633,Lao People's Democratic Republic,Utah,South Robert,
152,4490.15,False,sdv-id-WqjZTt,2023-07-10 20:59:42,Loyal customer with frequent purchases,Lisa,caitlynlee@example.com,https://www.bob78.com,+1-308-632-8791,cancelled,4,EUR,01634,Gambia,,North Clintonshire,
190,902.06,True,sdv-id-CIaQMX,2023-08-14 14:28:35,"Long-term subscriber, rarely contacts support",Meghan,kacevedo@example.net,https://jefferson-wood.com/,+1-365-346-4676,cancelled,4,GBP,93073,Mali,,North Richardland,Customer since 2023
193,4242.44,False,sdv-id-TFKect,2025-05-14 03:06:58,"Feedback provider, helps improve services",Amanda,corey13@example.com,https://www.wood-frank.com/,+1-775-367-5584,shipped,5,JPY,98039,Papua New Guinea,Utah,West Christopher,No specific preferences
165,4634.64,False,sdv-id-XZjlru,2023-09-07 07:38:56,New user exploring features,Jose,ghoffman@example.net,https://www.bob78.com,+1-452-938-1401,processing,3,EUR,33199,Australia,Hawaii,East Teresaview,Interested in new features
179,4274.0,True,sdv-id-Kgactb,2025-04-20 17:19:22,"Long-term subscriber, rarely contacts support",Sandra,evan31@example.com,http://www.kirby-spears.org/,+1-173-172-4630,cancelled,4,EUR,02462,,Colorado,South James,Customer since 2023
123,8596.76,True,sdv-id-kmcbjC,2023-08-21 00:26:48,Loyal customer with frequent purchases,Jessica,edwardsandrea@example.net,https://www.cox-castillo.info/,+1-743-949-7492,processing,3,JPY,40810,Latvia,North Carolina,Seanview,"VIP customer, provide priority support"
133,8053.96,False,sdv-id-SncYVO,2022-09-26 15:43:12,New user exploring features,Jeffrey,eric11@example.net,http://hill.com/,+1-436-412-0295,shipped,4,CAD,64441,,Wisconsin,North Angela,Customer since 2023
110,1440.28,False,sdv-id-bKlxmU,2022-11-17 11:48:54,,Molly,bakerjohn@example.net,,+1-941-242-5475,shipped,5,EUR,88658,,Alabama,,
177,6407.34,False,sdv-id-gNnzbF,2023-03-05 00:00:54,New user exploring features,Joseph,theresa77@example.com,http://robinson.info/,+1-553-155-6797,shipped,5,GBP,22096,,Minnesota,Johnnyborough,
144,220.71,False,sdv-id-HVzuHt,2022-11-28 02:55:10,Interested in new product releases,Joseph,carla52@example.com,https://www.diana34.com,+1-530-386-0070,cancelled,5,CAD,57387,,Iowa,Jesusshire,Preferred contact time: mornings
133,8985.58,False,sdv-id-vMrUdY,2024-11-01 12:05:38,Loyal customer with frequent purchases,Crystal,ghernandez@example.org,http://www.barnes.info/,+1-570-331-6471,cancelled,5,AUD,21224,Iran,Iowa,Port Gloriamouth,No specific preferences
140,6207.61,False,sdv-id-GnLXex,2022-12-30 19:17:15,"Long-term subscriber, rarely contacts support",Brian,josephmartinez@example.com,https://www.hale.com/,+1-274-489-6454,processing,3,JPY,76671,Singapore,North Carolina,North Albert,Follow up on recent inquiry
149,8527.7,False,sdv-id-JqyUsm,2025-03-14 15:50:02,New user exploring features,Max,drakemichael@example.net,https://www.silva.net/,+1-652-864-4144,completed,3,EUR,96168,Portugal,,Port Adam,Interested in new features
126,2232.34,True,sdv-id-XHERXj,2024-12-15 06:56:10,"Feedback provider, helps improve services",Kyle,victoria49@example.org,https://swanson.com/,+1-486-126-2806,shipped,5,AUD,73405,Saint Vincent and the Grenadines,Kentucky,West Melissamouth,
105,9319.6,True,sdv-id-mBYMbp,2023-08-25 08:17:16,Active community member,Katelyn,danielolson@example.com,https://www.ward.com/,+1-613-686-8385,processing,3,AUD,70787,Dominica,Connecticut,,Follow up on recent inquiry
151,6098.67,False,sdv-id-VNzNEL,2024-03-15 20:12:06,Loyal customer with frequent purchases,Hayley,shawnmartinez@example.org,http://www.webster.com/,+1-425-942-7422,cancelled,5,EUR,65189,Togo,Virginia,Ewingborough,Has expressed interest in premium plan
100,9436.57,True,sdv-id-fDsJoT,2023-01-06 11:01:20,"Feedback provider, helps improve services",Martha,bgibson@example.net,https://www.thompson-harmon.net/,+1-772-022-7785,pending,5,EUR,21666,Congo,Nebraska,,"VIP customer, provide priority support"
151,9879.12,True,sdv-id-ceUGit,2022-08-21 16:55:56,Active community member,Jerry,derekmills@example.org,https://www.douglas.org/,+1-541-733-4352,cancelled,5,USD,45354,,Rhode Island,West Andrewview,Preferred contact time: mornings
113,8364.27,True,sdv-id-wumxjI,2023-05-20 21:07:32,Active community member,Keith,uhendrix@example.net,http://www.green.biz/,+1-861-608-3120,cancelled,3,GBP,22309,Georgia,Connecticut,,Interested in new features
134,5311.94,True,sdv-id-TuKzVl,2025-01-28 01:10:23,Loyal customer with frequent purchases,Jennifer,jgarcia@example.com,http://adams.org/,+1-706-648-8810,cancelled,5,USD,76478,New Caledonia,,Kevinville,Customer since 2023
125,3754.67,False,sdv-id-rjXRmM,2024-02-23 20:17:26,Active community member,Miguel,fwilliams@example.net,http://www.martinez-david.com/,+1-535-981-0256,completed,4,GBP,20556,,,Port Elizabethfort,Follow up on recent inquiry
149,3803.41,True,sdv-id-wQtioF,2024-09-04 15:46:11,Interested in new product releases,Susan,samanthabeard@example.com,http://www.randolph.com/,+1-422-157-1664,shipped,3,EUR,27056,Svalbard & Jan Mayen Islands,Maine,Lake Edwinton,Customer since 2023
120,5802.97,False,sdv-id-HOPKJN,2024-02-24 20:47:20,"Long-term subscriber, rarely contacts support",Ashley,glenn36@example.org,,+1-555-391-7445,processing,4,AUD,12090,Congo,New Jersey,Port Christopher,Has expressed interest in premium plan
105,5951.57,True,sdv-id-AsODmw,2022-06-27 10:06:03,Active community member,Ian,hannah31@example.net,http://price-evans.info/,+1-737-558-0725,processing,4,JPY,78132,Kenya,,Lake Rebecca,
122,3680.65,True,sdv-id-ROSTsi,2022-08-31 04:22:36,New user exploring features,Cody,ysnyder@example.org,https://www.ivy45.com,+1-669-538-9796,shipped,4,GBP,81821,Pakistan,Ohio,South Phillipburgh,"VIP customer, provide priority support"
121,2055.39,False,sdv-id-tmPzQz,2023-11-18 12:35:46,Active community member,Anne,boydalyssa@example.com,http://robertson.com/,+1-084-862-8444,completed,4,CAD,,Gambia,Georgia,East Benjamin,"VIP customer, provide priority support"
154,3031.56,True,sdv-id-qazXBq,2024-10-19 10:26:56,Interested in new product releases,Laura,anthonystewart@example.com,https://www.diana34.com,+1-201-425-5512,completed,5,AUD,49520,Botswana,Iowa,Fernandezville,Customer since 2023
112,2473.36,True,sdv-id-tofqHk,2025-05-20 17:10:32,"Feedback provider, helps improve services",Larry,scott17@example.com,https://www.diana34.com,+1-154-558-7180,pending,4,JPY,99503,Liechtenstein,Pennsylvania,West Melissachester,
122,9545.83,True,sdv-id-GcwoAn,2023-05-05 14:10:04,Active community member,Charles,ruben63@example.com,http://schultz.biz/,+1-108-827-7278,processing,4,AUD,31920,Thailand,,,Customer since 2023
152,4320.29,True,sdv-id-wtCCzA,2022-07-16 08:12:29,"Long-term subscriber, rarely contacts support",Faith,krobinson@example.net,http://www.baird.com/,+1-198-321-8004,processing,5,AUD,,Togo,Florida,Danielsburgh,
123,9324.9,False,sdv-id-CclFkX,2023-03-08 07:48:02,Active community member,Christopher,beth33@example.org,https://mcfarland.com/,+1-257-377-0791,completed,5,AUD,07225,Costa Rica,Oregon,Kelliside,
170,9882.08,True,sdv-id-pXBPtk,2024-08-24 13:51:52,"Long-term subscriber, rarely contacts support",Jeremy,mbrennan@example.com,https://www.karen89.com,+1-609-591-6026,pending,4,USD,27744,Honduras,Idaho,East Edwinland,
142,9861.91,True,sdv-id-mPuHnp,2024-04-24 16:30:22,Active community member,Justin,hugheslori@example.org,https://owens.org/,+1-022-313-6128,cancelled,3,EUR,92620,Slovakia (Slovak Republic),Oregon,,
192,8935.32,True,sdv-id-vWBGBA,2022-09-11 13:24:11,Active community member,Jeremy,floresshane@example.org,https://alice.com,+1-342-326-2476,pending,3,AUD,27404,Venezuela,South Dakota,East Elizabethchester,"VIP customer, provide priority support"
186,349.28,False,sdv-id-ktBSKA,2022-11-15 13:52:58,Loyal customer with frequent purchases,Benjamin,drakeblake@example.net,http://www.martinez.com/,+1-063-970-5139,pending,3,AUD,76775,Svalbard & Jan Mayen Islands,South Carolina,South Anna,
175,5114.77,False,sdv-id-kbtSZp,2022-09-16 14:32:40,Interested in new product releases,Dean,robertsisabella@example.net,http://www.brown-white.com/,+1-573-288-2378,cancelled,4,AUD,,Belize,New Mexico,West Jay,Follow up on recent inquiry
127,7744.34,True,sdv-id-sqkIpr,2024-10-05 00:26:17,,Kayla,christinaschwartz@example.net,https://leach-estrada.com/,+1-062-079-6838,pending,3,EUR,38806,Seychelles,Maine,Davisshire,No specific preferences
116,8496.49,True,sdv-id-ohmQEX,2023-11-06 20:27:38,"Long-term subscriber, rarely contacts support",Christina,dharris@example.net,https://www.kemp.net/,+1-103-714-9527,cancelled,4,CAD,42045,Norway,Tennessee,Williamchester,Has expressed interest in premium plan
167,5822.72,False,sdv-id-IAzoig,2023-02-02 08:14:20,Interested in new product releases,John,bryan75@example.org,http://turner-bowman.net/,+1-281-315-0455,processing,4,AUD,85659,,,Josephview,No specific preferences
177,1640.82,True,sdv-id-BNUDfH,2024-09-28 20:52:03,"Long-term subscriber, rarely contacts support",Jaclyn,samantha46@example.net,http://www.rodriguez.com/,+1-643-785-4231,cancelled,3,GBP,41600,,,Jacobtown,Preferred contact time: mornings
135,4507.45,True,sdv-id-mgKSkV,2024-12-26 16:37:38,"Long-term subscriber, rarely contacts support",Kari,shawnallen@example.com,https://www.ivy45.com,+1-999-162-4727,processing,3,USD,52965,United States Virgin Islands,Louisiana,Zamoraborough,
191,9692.01,False,sdv-id-pGeNKb,2024-10-22 01:02:52,"Feedback provider, helps improve services",Zachary,rodriguezkrista@example.com,https://www.bob78.com,+1-939-321-4675,cancelled,5,GBP,77966,,California,,Has expressed interest in premium plan
140,2527.39,True,sdv-id-ZCtLas,2022-12-28 19:25:12,Interested in new product releases,Christian,imills@example.com,https://www.wright.com/,+1-422-417-5915,completed,3,JPY,86390,American Samoa,,North Donnachester,Preferred contact time: mornings
137,1415.05,True,sdv-id-mcCurH,2023-10-05 00:16:49,Loyal customer with frequent purchases,Joseph,stephanie55@example.org,https://shaw.biz/,+1-617-097-2558,pending,3,USD,73310,Czech Republic,,Powellberg,
135,5201.95,True,sdv-id-wjhOZf,2023-01-31 10:25:39,,Aaron,scottcarpenter@example.org,https://mcdaniel.com/,+1-237-824-8469,pending,3,AUD,21470,Timor-Leste,Alabama,East Dana,
199,3488.72,True,sdv-id-UfGipo,2024-07-11 04:43:31,Loyal customer with frequent purchases,David,vharris@example.com,https://mcgrath.com/,+1-633-228-4565,completed,4,CAD,35194,,Illinois,Katherinemouth,
126,6755.75,False,sdv-id-tcLZNI,2023-07-26 19:39:28,,Larry,ericperez@example.com,http://www.shaw.com/,+1-453-586-0251,pending,4,JPY,13260,Bosnia and Herzegovina,South Dakota,Lake Veronica,No specific preferences
126,6899.47,True,sdv-id-iXaQku,2024-09-02 14:23:15,"Feedback provider, helps improve services",Aaron,shelleybrock@example.com,http://atkinson-morgan.org/,+1-414-722-9706,processing,5,AUD,,Puerto Rico,Illinois,North Patricialand,
163,6271.79,False,sdv-id-iXHhLB,2022-10-10 11:37:07,Interested in new product releases,Evan,alex82@example.net,https://torres-williams.net/,+1-111-874-8832,completed,5,AUD,,Wallis and Futuna,,South Nicholas,Follow up on recent inquiry
195,7968.16,True,sdv-id-HJMItT,2022-08-28 18:29:03,Loyal customer with frequent purchases,Erica,williamnelson@example.net,https://alice.com,+1-922-968-3971,processing,5,USD,24912,Niue,Virginia,Halltown,
131,478.51,True,sdv-id-uFugrP,2024-12-29 10:00:40,Active community member,Steven,bookerpaul@example.org,https://www.jack67.com,+1-526-973-3331,shipped,3,AUD,57179,Pitcairn Islands,Florida,Robertsonbury,Preferred contact time: mornings
161,957.53,False,sdv-id-HKFhoK,2023-10-12 17:44:51,Loyal customer with frequent purchases,Donald,bstevens@example.org,,+1-016-969-8942,cancelled,4,EUR,67946,,New Jersey,Carrieland,No specific preferences
107,8605.86,True,sdv-id-rMNJeD,2024-05-22 04:00:38,Loyal customer with frequent purchases,Lindsey,craigian@example.org,http://www.green-young.com/,+1-814-507-0884,shipped,4,EUR,89125,Montserrat,Alaska,,Preferred contact time: mornings
187,282.25,False,sdv-id-tPKDRI,2025-04-09 16:32:05,,Rachael,halemarc@example.com,,+1-639-952-1721,cancelled,3,USD,16600,Swaziland,Iowa,South Stacyville,Customer since 2023
190,9198.04,True,sdv-id-nrkOXw,2023-11-19 16:13:01,Loyal customer with frequent purchases,Adriana,jhayden@example.org,http://www.nguyen.info/,+1-334-401-6385,processing,3,EUR,,,Oklahoma,Alexanderchester,Customer since 2023
196,4289.97,False,sdv-id-WnrYKH,2023-03-27 22:13:33,Interested in new product releases,Erika,justin58@example.org,https://steele-lee.com/,+1-206-434-8307,cancelled,4,GBP,00639,Togo,Ohio,Port James,Interested in new features
135,1872.9,True,sdv-id-lHXuuE,2025-01-06 16:30:46,"Feedback provider, helps improve services",Karen,teresaburton@example.org,http://www.stone-hansen.net/,+1-091-035-4995,pending,4,AUD,59137,Guinea,Idaho,Lake Steven,Follow up on recent inquiry
126,1487.34,False,sdv-id-TjjvJZ,2022-09-09 19:37:24,Active community member,Daniel,nelsonkayla@example.org,https://www.olson.com/,+1-898-515-3551,shipped,4,GBP,72133,Kiribati,Vermont,North Jacqueline,Preferred contact time: mornings
193,4676.8,False,sdv-id-yvUleY,2024-12-22 21:19:24,"Feedback provider, helps improve services",Ellen,tbrooks@example.net,https://www.jack67.com,+1-832-927-2111,processing,3,JPY,,,,,
101,676.44,False,sdv-id-HQGZpi,2025-02-27 16:26:37,"Feedback provider, helps improve services",Brooke,sheppardpaul@example.com,https://www.williamson.com/,+1-967-788-9219,processing,3,CAD,21427,United Kingdom,South Carolina,New Jonathan,
158,905.35,True,sdv-id-YrQbWu,2024-01-09 08:29:00,Loyal customer with frequent purchases,Karen,nsimmons@example.net,http://turner.info/,+1-821-693-8873,shipped,3,EUR,34002,Nigeria,Louisiana,East Jerryfurt,
134,7219.07,False,sdv-id-pMhIGN,2023-12-06 04:57:47,,Jerry,paulgraham@example.net,https://alice.com,+1-446-609-1116,completed,4,GBP,30979,Oman,Pennsylvania,Turnershire,Interested in new features
145,1491.46,False,sdv-id-SHzXCn,2024-01-10 03:11:50,Interested in new product releases,Edward,matthewsrobin@example.net,https://grant.biz/,+1-628-223-4774,processing,5,AUD,,Wallis and Futuna,Delaware,,No specific preferences
135,4311.79,False,sdv-id-KbDVeF,2022-07-08 08:20:57,"Feedback provider, helps improve services",Maria,wbarker@example.org,http://moore-wheeler.org/,+1-404-994-1226,shipped,4,JPY,,,Texas,Austinview,"VIP customer, provide priority support"
114,1839.38,True,sdv-id-kVJYFR,2022-12-03 00:37:29,Loyal customer with frequent purchases,Richard,manderson@example.org,https://www.brewer.com/,+1-465-900-8988,processing,3,USD,86758,Italy,Iowa,Lake Clayton,
112,8640.06,False,sdv-id-hIgCow,2023-01-07 17:42:04,Loyal customer with frequent purchases,Dana,pfleming@example.org,http://www.murphy.com/,+1-992-397-7438,pending,5,AUD,35566,Saint Kitts and Nevis,Colorado,,Customer since 2023
157,361.06,False,sdv-id-ekEsNI,2024-06-13 15:24:30,Active community member,Elizabeth,zchristian@example.net,https://www.bob78.com,+1-932-807-0990,processing,3,EUR,,Guatemala,,West Julia,Has expressed interest in premium plan
126,6083.05,False,sdv-id-mxozkI,2025-02-10 16:07:58,Active community member,Destiny,fsantiago@example.com,http://davis.com/,+1-897-871-2753,cancelled,4,USD,18752,Finland,California,Michaelmouth,No specific preferences
126,3671.28,True,sdv-id-aPkuIY,2023-09-05 16:39:29,Loyal customer with frequent purchases,Cody,schmidtjanice@example.com,https://www.ivy45.com,+1-193-685-7162,processing,4,EUR,50805,,New Jersey,Port Lisahaven,
121,4390.22,False,sdv-id-VdCutS,2023-03-19 04:09:23,New user exploring features,Andrew,zacharyrowe@example.org,http://lin.com/,+1-518-208-1351,pending,3,JPY,38085,Panama,Delaware,Port Jeremy,
141,1105.52,False,sdv-id-OCJNRu,2022-11-19 05:52:13,"Long-term subscriber, rarely contacts support",Kenneth,brownmarcus@example.com,https://www.stein.com/,+1-162-065-7728,pending,4,CAD,21207,Egypt,,North Patrickmouth,Customer since 2023
154,2200.48,False,sdv-id-zzFywP,2022-10-14 19:21:28,"Long-term subscriber, rarely contacts support",Lisa,andersonchristine@example.org,https://meyer.com/,+1-582-651-2820,completed,4,EUR,26531,Cyprus,Nebraska,Stephenmouth,Has expressed interest in premium plan
192,6134.71,False,sdv-id-qSrNDQ,2022-05-30 17:41:21,Interested in new product releases,Grace,annettebender@example.org,https://www.diana34.com,+1-668-011-4864,shipped,5,USD,19242,Jersey,Connecticut,Davisland,"VIP customer, provide priority support"
161,7503.11,False,sdv-id-PDRAIS,2022-07-08 13:29:28,Interested in new product releases,Jessica,duncansara@example.com,https://hurst.com/,+1-944-626-7025,completed,4,AUD,49764,Norfolk Island,Massachusetts,Kristybury,
194,6335.74,False,sdv-id-qbiHtk,2025-03-02 11:25:06,Interested in new product releases,Joseph,kchen@example.net,,+1-932-783-8854,completed,3,JPY,40700,Costa Rica,Texas,South Arthur,"VIP customer, provide priority support"
197,2867.87,True,sdv-id-DlUjVm,2022-12-25 06:09:36,Loyal customer with frequent purchases,Cheryl,kendra10@example.org,https://www.price-winters.org/,+1-615-227-5713,completed,3,USD,33698,Montenegro,Mississippi,Russellside,Customer since 2023
