user_id,account_balance,is_active,customer_uuid,signup_date,profile_text,first_name,email_address,personal_website,contact_number,order_status,rating,currency_code,postal_code,country,state,city,notes
131,8635.41,True,sdv-id-WbqFPC,2023-03-19 09:30:01,Loyal customer with frequent purchases,Amy,svaldez@example.net,https://www.wilkerson.net/,+1-290-246-2096x9539,shipped,3,EUR,28287,United Kingdom,Kentucky,Carloston,Customer since 2023
133,6653.77,False,sdv-id-IpxJKF,2023-12-09 20:15:06,"Long-term subscriber, rarely contacts support",Devon,joseph37@example.net,http://www.cole-johnson.com/,396.756.3678,shipped,3,GBP,29706,United Kingdom,Colorado,Blackport,No specific preferences
132,5519.5,True,sdv-id-mgoReL,2024-02-02 08:00:47,Active community member,Dylan,vanessa69@example.com,http://www.flowers.info/,(344)741-8638,processing,3,CAD,49291,United States,Vermont,Olivermouth,Follow up on recent inquiry
125,2049.28,True,sdv-id-cqRcYy,2022-10-14 14:26:41,"Long-term subscriber, rarely contacts support",Brian,uwilkerson@example.org,http://www.tucker.com/,+1-761-588-5332x95136,completed,3,USD,46494,United Kingdom,Kansas,Justinchester,Customer since 2023
134,8018.22,False,sdv-id-xfjMtX,2023-09-06 15:32:24,Active community member,Carla,cherylfranklin@example.org,https://johnson.com/,870-353-4057,processing,4,EUR,27986,United Kingdom,New York,Port Amandaside,"VIP customer, provide priority support"
123,1063.35,False,sdv-id-akVzdw,2024-02-26 15:38:22,Active community member,Alexis,gwilson@example.net,https://lopez.com/,+1-922-681-5624x77457,completed,4,JPY,34038,United Kingdom,Washington,Lake Alyssaton,Follow up on recent inquiry
136,8527.93,False,sdv-id-Nznzgu,2023-10-07 16:31:22,"Feedback provider, helps improve services",Karen,davidmoore@example.org,http://johnson-kerr.com/,+1-898-385-5510x780,cancelled,5,CAD,61407,United States,North Carolina,Cooleyfurt,Has expressed interest in premium plan
135,9229.5,False,sdv-id-NMfRhk,2023-04-15 05:10:16,Loyal customer with frequent purchases,Jessica,francisewing@example.net,https://lopez-murray.net/,+1-727-562-6160x5833,completed,3,JPY,64907,Canada,Idaho,North Timothyland,Preferred contact time: mornings
125,2677.01,True,sdv-id-FBovyb,2022-11-26 13:15:52,Loyal customer with frequent purchases,Frances,bennettstephen@example.com,http://arroyo-miller.com/,(289)422-6837x08186,pending,3,JPY,71144,Germany,Pennsylvania,North Karenmouth,Customer since 2023
128,1545.98,False,sdv-id-REDNYd,2023-01-25 15:37:41,Interested in new product releases,Erica,leonardbruce@example.com,https://wallace.info/,+1-266-602-2382,shipped,3,USD,70398,United States,Wyoming,Morganbury,Preferred contact time: mornings
127,9722.67,False,sdv-id-sMrLYz,2022-09-19 08:18:55,Interested in new product releases,Maria,frankkane@example.com,http://www.wells-ward.biz/,9054225241,shipped,5,USD,99144,United Kingdom,Mississippi,Heatherville,No specific preferences
130,5633.94,False,sdv-id-UChBCU,2023-11-17 09:18:09,"Feedback provider, helps improve services",Damon,bradyjulie@example.net,http://hayes.com/,299.636.8419x0530,processing,4,CAD,41625,Australia,Washington,Port James,Customer since 2023
128,9104.3,True,sdv-id-TMtEaU,2023-07-29 19:20:34,New user exploring features,Steven,jjackson@example.net,https://www.harris-graves.com/,834.881.8880,pending,4,GBP,52078,Canada,Louisiana,Benjaminside,"VIP customer, provide priority support"
134,7042.6,False,sdv-id-zcekyU,2022-08-03 14:27:27,New user exploring features,Joshua,sandra85@example.org,https://www.johnson.net/,(977)486-0221x453,pending,4,EUR,15471,Japan,Louisiana,Taylortown,Has expressed interest in premium plan
134,4950.63,False,sdv-id-AFnoEj,2024-01-21 18:20:36,"Feedback provider, helps improve services",Patrick,ofields@example.com,https://nelson.com/,001-465-556-9772x98535,processing,3,AUD,05941,Australia,Wisconsin,North David,Preferred contact time: mornings
126,4540.43,False,sdv-id-xCPplw,2022-12-14 13:59:18,New user exploring features,Ralph,davidhebert@example.com,https://www.williams-castro.biz/,246-974-2018x41069,shipped,5,USD,27961,Canada,New Hampshire,East Teresa,Customer since 2023
136,2803.12,False,sdv-id-RulCis,2023-12-18 02:37:41,"Long-term subscriber, rarely contacts support",Raymond,qwatkins@example.com,https://hopkins-mcbride.com/,+1-756-867-5054x0768,processing,3,EUR,75295,Australia,Connecticut,Port Denise,No specific preferences
134,9016.35,True,sdv-id-TNHWDd,2022-12-26 03:31:41,Interested in new product releases,Brenda,pharris@example.com,https://atkinson-caldwell.com/,001-807-832-3848x984,pending,3,EUR,71222,United Kingdom,Georgia,Michaelchester,No specific preferences
128,3374.85,True,sdv-id-ZDxwgO,2022-05-25 22:49:57,"Feedback provider, helps improve services",Christopher,bobby66@example.org,https://banks.com/,(685)603-4128,completed,5,AUD,44893,United Kingdom,North Dakota,Veronicaton,Has expressed interest in premium plan
131,1365.13,True,sdv-id-MvCHPQ,2022-11-20 19:36:28,New user exploring features,Charles,ronaldwright@example.org,https://thornton-hernandez.info/,+1-534-340-8641x442,completed,3,EUR,64948,United States,Arizona,East Donnatown,Has expressed interest in premium plan
132,1364.94,False,sdv-id-YteSqP,2022-12-17 20:48:16,Loyal customer with frequent purchases,Taylor,danielsnathaniel@example.org,https://vincent.com/,001-660-829-1160,completed,5,AUD,36591,Japan,North Dakota,Scotttown,Preferred contact time: mornings
132,4256.18,True,sdv-id-wtXDeY,2023-12-08 02:42:01,"Long-term subscriber, rarely contacts support",Stephanie,amy97@example.org,http://www.watts.info/,341-283-2706x18602,shipped,5,USD,05132,United States,Arizona,West Luketown,Customer since 2023
130,2635.97,True,sdv-id-EBxkKC,2023-06-05 05:00:25,Interested in new product releases,Sara,ambertorres@example.net,https://campbell.com/,(271)258-8516x1541,processing,3,GBP,54977,Germany,North Dakota,Port Steven,"VIP customer, provide priority support"
124,1811.68,True,sdv-id-oTCDtf,2023-06-02 17:18:45,New user exploring features,Jennifer,sarapearson@example.com,http://franklin-parker.org/,747-410-3740x973,processing,3,AUD,50179,United Kingdom,Illinois,Jacksonport,Customer since 2023
127,3050.45,True,sdv-id-qTywkS,2023-10-29 09:37:55,New user exploring features,James,albert09@example.com,http://cook-beasley.com/,384.619.9998x5892,completed,4,EUR,59499,United States,Oregon,Millerfurt,Interested in new features
125,3845.06,True,sdv-id-vUkvWH,2023-11-12 18:57:34,Loyal customer with frequent purchases,Nathan,sandrasexton@example.org,http://www.benton.biz/,+1-979-957-2924,processing,5,CAD,29495,Japan,Pennsylvania,Lake Samantha,No specific preferences
123,6042.98,False,sdv-id-hHAJnM,2022-11-22 01:11:21,Interested in new product releases,Anna,bobbykelly@example.net,http://www.west.info/,(927)739-4062,pending,4,JPY,19211,Australia,Louisiana,New Jennifer,"VIP customer, provide priority support"
126,9538.53,False,sdv-id-JTzhWS,2022-08-06 11:04:04,New user exploring features,Peter,gmarks@example.com,http://ponce.net/,001-547-591-3166x1622,cancelled,4,EUR,01281,United States,Texas,Peterburgh,Preferred contact time: mornings
134,8561.7,False,sdv-id-XsrGaU,2022-12-03 16:22:33,"Feedback provider, helps improve services",Amy,gregory96@example.com,https://daugherty-mayer.com/,001-793-506-4634,pending,5,USD,39926,Japan,New Hampshire,Vickiborough,No specific preferences
136,2457.91,True,sdv-id-qtVkjl,2024-02-23 10:59:39,Interested in new product releases,Drew,austingutierrez@example.net,http://weaver-rodriguez.com/,6376194940,shipped,4,EUR,80434,Germany,North Carolina,Laurenland,Customer since 2023
135,2711.8,False,sdv-id-sGetUE,2023-10-22 18:15:46,Interested in new product releases,Desiree,fwoods@example.net,http://brown.com/,001-540-891-6951,completed,5,CAD,59699,Japan,Connecticut,New Derek,"VIP customer, provide priority support"
129,4646.47,True,sdv-id-AQVWRq,2022-10-15 18:06:52,Active community member,Theresa,jason99@example.net,http://www.lewis-shannon.net/,001-673-396-1300x321,completed,5,EUR,73381,United States,Arkansas,Jamesport,Interested in new features
